"Python开发工程师","杭州泛利科技有限公司","本科","合资","0.8-1.3万/月","无需经验",,"50-150人","计算机软件 电子技术/半导体/集成电路","五险一金-员工旅游-绩效奖金-年终奖金-股票期权-弹性工作"
"Python开发工程师","珠海安士佳电子有限公司","本科","民营公司","1-1.5万/月","3-4年经验",,"500-1000人","电子技术/半导体/集成电路","免费班车-绩效奖金-社保-包吃住-专业培训"
"Python开发工程师","日昇昌投资控股（广州）有限公司","大专","民营公司","0.8-1.3万/月","2年经验",,"50-150人","计算机软件 互联网/电子商务","五险一金-弹性工作-员工旅游-专业培训-绩效奖金-周末双休-员工下午茶"
"Python开发","长沙居美网络科技有限公司","大专","民营公司","0.7-1.2万/月","2年经验",,"150-500人","互联网/电子商务","五险-员工旅游-专业培训-绩效奖金-年终奖金-定期体检-朝九晚五-年度调薪"
"Python架构师","西安翌昱皓莱数据科技有限公司","大专","民营公司","4-8千/月","1年经验","普通话","50-150人","计算机服务(系统、数据服务、维修)","五险一金-餐饮补贴-绩效奖金-生日蛋糕-员工拓展-每月聚餐"
"C#,Python,JAVA开发软件工程师","浙江精通自动控制技术有限公司","本科","民营公司","0.5-1.1万/月","1年经验",,"150-500人","电子技术/半导体/集成电路 汽车","绩效奖金-员工旅游-五险-餐饮补贴-年终奖金-股权奖金-每年加薪-软件开发奖金"
"Python开发工程师","上海华铭智能终端设备股份有限公司","本科","上市公司","1-1.5万/月","2年经验",,"150-500人","计算机服务(系统、数据服务、维修) 机械/设备/重工","五险一金-出差补贴-节日福利-定期体检-绩效奖金-年终奖金-专业培训"
"Python开发工程师","广州致远电子有限公司","本科","民营公司","0.8-1.4万/月","2年经验",,"500-1000人","电子技术/半导体/集成电路 仪器仪表/工业自动化","五险一金-周末双休-带薪年假-员工旅游-年终奖金-定期体检-绩效奖金"
"Python开发工程师","哈尔滨市科佳通用机电股份有限公司","本科","民营公司","1-1.6万/月","1年经验",,"150-500人","计算机软件 仪器仪表/工业自动化","14薪-每年2次调薪-周末双休-带薪年假-五险一金-免费班车-免费工作餐-定期体检"
"Python高级开发工程师","上海神州数码有限公司","本科","上市公司","1.5-3万/月","2年经验",,"500-1000人","计算机服务(系统、数据服务、维修) 计算机硬件","做五休二-弹性工作-带薪年假-五险一金-交通补贴-餐饮补贴-通讯补贴"
"python开发/算法平台开发","广州赛睿投资有限公司","大专","民营公司","1-1.8万/月","1年经验",,"金融/投资/证券",,"五险一金-节日福利-专业培训-免费班车-免费三餐"
"Python开发工程师  10-18k","四川创优生涯人才服务有限公司","大专","民营公司","1.5-2万/月","5-7年经验",,"专业服务(咨询、人力资源、财会)",,"弹性工作-带薪年假-绩效奖金-节日福利-专业培训-交通补贴-餐饮补贴-加班补贴-住房补贴-通讯补贴"
"Python工程师","广州璋圆科技有限公司","大专","民营公司","5-7千/月","1年经验",,"少于50人","计算机软件 互联网/电子商务","五险一金-定期体检-绩效奖金-员工旅游"
"Python软件开发工程师","苏州威思测电子科技有限公司","大专","创业公司","1-2万/月","2年经验","普通话良好","50-150人","电子技术/半导体/集成电路 仪器仪表/工业自动化","五险一金-年终奖金-绩效奖金"
"python开发（双休+大平台+稳定）","上海华腾软件系统有限公司","本科","上市公司","1.3-2.2万/月","3-4年经验",,"500-1000人","计算机软件","五险一金-餐饮补贴-绩效奖金-年终奖金-定期体检-专业培训-加班费-部门团建"
"Python信息技术工程师","广州灰度策划创意有限公司","大专","民营公司","6-8千/月","1年经验",,"150-500人","服装/纺织/皮革 奢侈品/收藏品/工艺品/珠宝",
"Python开发工程师","四川弘和集团","本科","民营公司","1.2-1.8万/月","5-7年经验",,"150-500人","计算机软件 计算机服务(系统、数据服务、维修)","周末双休-带薪年假-五险一金"
"Python开发工程师","青岛嘉淼网络科技有限公司","无需经验","民营公司","0.8-1万/月",,,"50-150人","通信/电信/网络设备","五险一金-绩效奖金-年终奖金-早九晚六-周末双休-带薪年假15天"
"Python工程师","深圳市大甲餐饮管理有限公司","大专","创业公司","6-8千/月","无需经验",,"50-150人","餐饮业 专业服务(咨询、人力资源、财会)","包吃-五险"
